frame_id,ground_truth_terrain,condition,visual_matchability,predicted_matchability_class,selected_reference_keyframe,raw_match_count,geometric_inlier_count,matching_inlier_ratio,reprojection_rmse,rejected,ground_truth_reference,is_correct_place_match,translation_error,rotation_error,score_B0_Fixed_ORB,score_B1_Feature_Count,score_B2_Terrain_Label,score_B3_Fixed_Handcrafted_Feature_Weights,baseline_selected_reference,baseline_correct
r00_road_normal,road,normal,1.0,HighMatchability,kf_road,223,223,1.0,0.4024331867694855,False,kf_road,True,1.0,0.0,0.5,0.28444444444444444,0.5,0.7536958049634259,kf_road,True
r00_road_bright,road,bright,0.96,HighMatchability,kf_road,221,216,0.9773755656108597,0.30490776896476746,False,kf_road,True,1.0,0.0,0.5,0.37444444444444447,0.5,0.6943047779258873,kf_road,True
r00_road_dark,road,dark,0.26,LowMatchability,kf_road,36,30,0.8333333333333334,0.4145755171775818,False,kf_road,True,1.0,0.0,0.5,0.07111111111111111,0.5,0.3602483803309528,kf_road,True
r00_road_blur,road,blur,0.3,LowMatchability,kf_road,10,8,0.8,0.39765575528144836,False,kf_road,True,1.0,0.0,0.5,0.12111111111111111,0.5,0.3172946704302922,kf_road,True
r00_road_yaw,road,yaw,0.62,MediumMatchability,kf_road,38,34,0.8947368421052632,0.7983876466751099,False,kf_road,True,1.0,0.0,0.5,0.1688888888888889,0.5,0.4803242725085074,kf_road,True
r00_grass_normal,grass,normal,0.9500000000000001,HighMatchability,kf_grass,18,17,0.9444444444444444,0.6929922699928284,False,kf_grass,True,1.0,0.0,0.5,0.03,0.42,0.4430740945980866,kf_grass,True
r00_grass_bright,grass,bright,0.61,MediumMatchability,kf_grass,15,13,0.8666666666666667,0.3527359366416931,False,kf_grass,True,1.0,0.0,0.5,0.14333333333333334,0.42,0.40696367076966583,kf_grass,True
r00_grass_dark,grass,dark,0.36,MediumMatchability,kf_road,0,0,0.0,,False,kf_grass,False,101.0,180.0,0.5,0.0,0.42,0.1706435561529472,kf_road,False
r00_grass_blur,grass,blur,0.6300000000000001,MediumMatchability,kf_road,0,0,0.0,,False,kf_grass,False,101.0,180.0,0.5,0.0,0.42,0.2521697418834149,kf_road,False
r00_grass_yaw,grass,yaw,0.59,MediumMatchability,kf_grass,5,4,0.8,0.0,False,kf_grass,True,1.0,0.0,0.5,0.042222222222222223,0.42,0.29525948355669956,kf_grass,True
r00_urban_building_normal,urban_building,normal,0.86,HighMatchability,kf_urban_building,384,323,0.8411458333333334,1.3015520572662354,False,kf_urban_building,True,1.0,0.0,0.5,0.7677777777777778,0.78,0.7495357173698086,kf_urban_building,True
r00_urban_building_bright,urban_building,bright,0.74,HighMatchability,kf_urban_building,391,300,0.7672634271099744,1.3947277069091797,False,kf_urban_building,True,1.0,0.0,0.5,0.7766666666666666,0.78,0.6586880248003691,kf_urban_building,True
r00_urban_building_dark,urban_building,dark,0.47,MediumMatchability,kf_urban_building,289,233,0.8062283737024222,1.339163064956665,False,kf_urban_building,True,1.0,0.0,0.5,0.6411111111111111,0.78,0.5132970693822709,kf_urban_building,True
r00_urban_building_blur,urban_building,blur,0.86,HighMatchability,kf_urban_building,139,88,0.6330935251798561,1.839125394821167,False,kf_urban_building,True,1.0,0.0,0.5,0.5511111111111111,0.78,0.6288135005144013,kf_urban_building,True
r00_urban_building_yaw,urban_building,yaw,0.58,MediumMatchability,kf_urban_building,343,275,0.8017492711370262,1.2726633548736572,False,kf_urban_building,True,1.0,0.0,0.5,0.99,0.78,0.619576239661765,kf_urban_building,True
r00_water_normal,water,normal,0.7500000000000001,HighMatchability,kf_road,0,0,0.0,,False,kf_water,False,301.0,180.0,0.5,0.0,0.22,0.33034492897399736,kf_road,False
r00_water_bright,water,bright,0.41000000000000003,MediumMatchability,kf_road,0,0,0.0,,False,kf_water,False,301.0,180.0,0.5,0.0,0.22,0.1886701066366952,kf_road,False
r00_water_dark,water,dark,0.36,MediumMatchability,kf_road,0,0,0.0,,False,kf_water,False,301.0,180.0,0.5,0.0,0.22,0.1863694286246788,kf_road,False
r00_water_blur,water,blur,0.7500000000000001,HighMatchability,kf_road,0,0,0.0,,False,kf_water,False,301.0,180.0,0.5,0.0,0.22,0.33865092152533427,kf_road,False
r00_water_yaw,water,yaw,0.51,MediumMatchability,kf_road,0,0,0.0,,False,kf_water,False,301.0,180.0,0.5,0.0,0.22,0.22208014866280468,kf_road,False
