timestamp,numSV,hDOP,vDOP,hAcc,vAcc,gSpeed,CNO_mean,CNO_std,CNO_gap,low_elev_ratio,PR_RMS,Fault_SVID_count,hard_label,soft_fault_prob,pos_error_2d,residual,scenario
0,20,1.9273288855237753,2.5419174078237905,4.795198843031264,5.844503825776928,8.246798477759683,22.165295250608384,9.52245697099646,12.04058206697087,0.3554447485404884,41.81677441293659,4,1,0.8829313004882358,7.9462785680976715,3.5208106517196245,harsh
1,24,1.8541819177666954,2.496571696470817,4.396596991647138,6.1922075045426945,5.686131704651015,19.231559403998922,8.916026317680949,11.542025820924541,0.34106690254236666,49.09076464163365,4,1,1.0,8.589940556068727,4.045258781402778,harsh
2,20,1.9167999433275638,2.761702290658579,4.502003608808878,6.111815848485434,6.638186854692779,19.69671145155532,8.801770779220158,13.01199526171167,0.3425083467010597,43.35173872178705,3,1,0.9848948088627425,7.857264833291697,4.191692248138339,harsh
3,20,2.099482586162571,2.6815443162672774,4.490027187179676,6.0256319680300825,7.0610516617937975,21.579956256531126,9.986611400402161,13.326887186896897,0.334191794671158,49.53729158037803,5,1,1.0,8.026083374876741,3.792894177944735,harsh
4,23,1.9002067991128495,2.4181095732384867,4.395599475916711,5.907960080044313,5.947595151086353,20.87146890167876,8.869200692044755,13.66559652816728,0.33345710356523045,45.457167070275055,3,1,1.0,7.496322575570302,4.148961480126721,harsh
5,22,1.871117033419535,2.4458438386959838,4.804312592792859,5.784894924835277,5.9542399682019465,19.579760028206735,8.694081974359563,15.211262308087896,0.31998928444637686,46.9460601670553,5,1,1.0,7.576195637693332,3.972571378237863,harsh
6,21,1.8029786136089072,2.384702981251601,4.542445578949076,5.859187760664042,7.8286748732408,21.01138042830287,8.635793561733637,10.704612126097523,0.3289896787397772,43.43273342029235,5,1,0.9705352893910804,9.089910738063248,3.844115923657547,harsh
7,23,1.8533143370236735,2.3481147131953497,4.429086306114947,6.152142920928775,6.733368076140502,23.050022618255774,8.589231305602613,15.531586572838888,0.3327492929373769,41.628285929710536,4,1,0.9769239849699453,8.164865022465705,3.7779469249140205,harsh
8,21,1.9581775059315343,2.4106655950384535,4.422464567969214,6.158261340089653,7.559639164321805,22.67115377732442,9.283824697160842,13.58066675741804,0.2778761311476444,41.044980988119605,4,1,0.9360517002318123,7.732341508392218,3.684767252305979,harsh
9,19,1.9845041477176149,2.370720462864588,4.722535623900779,6.2879927374732905,7.262766716660947,21.80569576149376,9.628195623899629,13.907712115493798,0.31248032522514524,46.82007552887035,3,1,0.982240202993334,8.311988010183622,3.736988297732317,harsh
