timestamp,numSV,hDOP,vDOP,hAcc,vAcc,gSpeed,CNO_mean,CNO_std,CNO_gap,low_elev_ratio,PR_RMS,Fault_SVID_count,hard_label,soft_fault_prob,pos_error_2d,residual,scenario
0,28,1.390985170154125,2.1628850542868356,2.991109664333174,4.242862864621027,8.032905195353372,24.562911009505363,6.880703719775109,7.942521541505387,0.20676541790101247,28.03749683978361,2,1,0.8673508024374539,6.938409957105162,2.8692144624937983,medium
1,24,1.6502014821270083,1.8137763000295961,3.245862433220304,5.048868465373952,6.6925161222446645,27.551525947313692,7.653956121433932,7.5754130538206965,0.262809169074012,28.922785699581482,2,1,0.8960782795236488,7.278804242209966,3.0291878002206594,medium
2,26,1.4158679561870642,1.7878511952063676,3.3409682741839926,4.816944948909939,6.602188041116153,26.44225685003389,8.118627482899878,8.977037514692974,0.21962004244683345,27.761156516374434,2,1,0.7286805811652316,7.651319260441138,2.3459080096637157,medium
3,25,1.5049498646792676,2.0066171845685163,3.376220485736978,4.797782978488174,7.18463814107107,25.415517265074463,7.0735724251944125,9.646077726603714,0.21103300731905256,29.855401795425212,2,0,0.8138946588345659,1.8742311415055102,2.7518821743757633,medium
4,22,1.452182260995239,1.9997494009957535,3.309080405557174,5.090738203713441,8.992341601330017,24.682806110753358,7.418215822903433,12.16600963843621,0.21616594159624777,29.91056441066423,2,1,0.7173963144887539,7.4946568892075005,2.4339887319870868,medium
5,24,1.6378703449673002,2.0250136543779877,3.578080895142619,5.060677078895385,9.072555438338595,27.01513692636621,8.301565929991193,9.13775986298775,0.2446707596641282,28.708081282515806,3,1,0.695436393294589,8.932825346038424,2.382701078051742,medium
6,22,1.4405851351555463,2.070211010298921,3.211364480950164,4.505591829445216,7.031099760821082,25.461628857660084,7.779003909889381,4.563503739060001,0.2216221803010075,35.064773102965745,2,1,0.8395936673361326,8.046060145688529,2.654128177844514,medium
7,23,1.4382486942214479,1.878314538244787,3.4022326023511726,4.549528841703893,8.083297189914942,26.07070285597379,7.258230531577224,11.398253453397233,0.24055730839551065,28.117672074684876,3,1,0.7930798558472856,7.421649770313916,2.4221763902441893,medium
8,25,1.543243553236455,1.9894626166206728,3.4446503961698545,5.26010998121358,7.623175764359853,24.380453324750057,8.313648830379964,8.771626671363407,0.26684814989684463,32.41489911573449,3,1,0.8662133929463869,8.108428586737725,2.8666410137061127,medium
9,24,1.5684889952165233,2.086454974784504,3.444988272453333,5.128860698774203,5.773894137791995,24.91538224264971,8.851146423300815,7.989581408697449,0.18342231652759278,30.342924791086915,3,1,0.7913754985216147,8.46401860834096,2.7354407758075605,medium
10,20,1.5678801469878973,2.0952948033901007,3.450076169366502,5.109466998001402,7.834173454625724,22.01291316659554,7.907454320520026,11.165549668343056,0.21249895125730078,34.55863948838362,3,1,0.7956231226008526,8.31541568277005,2.7954260507848745,medium
11,21,1.585967000551969,1.8974375720698435,3.4528003397875526,4.799367205101742,7.80080430629611,22.994926154805228,8.22048288488678,10.178615406352076,0.25428104986063493,32.61584062776993,2,1,0.9031543162720669,8.851039680058289,3.0902539562705584,medium
12,24,1.4609139243366442,1.8307857875344689,3.4812291017306203,4.418224316411503,7.5650626877191085,25.336497542421498,7.8919686370255,8.961713005578408,0.2224298791453519,28.753429139867745,2,1,0.8561064425865824,7.9167351550298,3.0574501747205827,medium
13,23,1.5221488288934282,1.7466351879066608,3.615787187945083,4.478626378362858,7.684311502449888,26.93327622022045,7.834397146821459,7.5934145807644216,0.182835947174253,30.4314504975704,3,1,0.6586027801252594,8.126027277096386,2.183841225306461,medium
14,25,1.2839844951111221,1.9093481319140404,2.9365774124335418,4.086975689285915,8.001647192529518,28.104031207850404,7.241810418233958,10.71442771355612,0.23316838243874896,29.129388173697976,2,1,0.8646931764517394,6.995741346433398,2.8905038294253167,medium
15,25,1.4995892674514444,1.9811654193944863,2.819205162516959,4.015911554487688,8.063319369063054,25.554889778631228,8.365592970970928,5.208180636259161,0.18266461277608315,22.76200588803376,2,1,0.5885071435013327,7.442892247429245,2.0030854164105643,medium
16,24,1.2798912607959356,1.446182918178069,2.724265436460628,3.8977988504042047,8.151914991031909,28.94034618751349,7.006261976715228,8.5143348190323,0.15661179906016684,30.029944531085917,2,0,0.4403362115995146,2.95,1.5530437532852595,medium
17,25,1.1843190710843854,1.4433224922911276,2.8932252297567564,3.474929955485561,7.971816777403808,29.526708177775788,7.448820394058102,6.69306518748626,0.16470654416209407,24.91137792586359,1,0,0.46623368061226506,1.6116550896255846,1.565565097349466,medium
18,27,1.262419804169381,1.5859702898120296,2.4542142169967294,3.3557635823230783,8.285714223235056,28.50900867676578,6.506336105970007,6.389781593577518,0.17607666226532728,20.593066897566203,2,0,0.45765493763406884,1.6301049505112464,1.7304491985546684,medium
19,25,1.1339650641038714,1.5417522663371341,2.650035317006777,3.9720182301138696,8.609343618644509,27.751856865781715,6.962510407388176,6.219415772610412,0.17959609213616248,22.016690865318598,1,0,0.6435148353330126,1.2650831071523594,2.151056086147285,medium
20,27,1.2062905046183168,1.8239735013282574,2.994220979906356,3.727690087245996,7.831280176761977,29.446654061283567,6.134182518156658,4.004126630380173,0.1419940723068482,25.521347788182336,1,0,0.6850142297216779,1.236806644061896,2.1040355363803473,medium
