timestamp,numSV,hDOP,vDOP,hAcc,vAcc,gSpeed,CNO_mean,CNO_std,CNO_gap,low_elev_ratio,PR_RMS,Fault_SVID_count,hard_label,soft_fault_prob,pos_error_2d,residual,scenario
0,23,1.393423944154072,1.94261270058185,3.180970052016301,4.237537463593984,7.939499934543278,26.923399881232214,7.937874911173716,7.6180201825540985,0.23671812825565014,32.010556364537706,3,0,0.7196159042135037,1.5569826511496063,2.2063495846540238,deep
1,24,1.4935714261059432,1.8860152239743517,3.5472209903996004,5.281151286938936,6.950417203737348,23.241473882295374,7.510374244013328,12.95975317454446,0.2529068154961936,35.588552070868616,3,0,0.7499422763644027,1.2859056766089254,2.5678306731270455,deep
2,23,1.6737067668662027,2.11552091833476,3.519654697071085,4.515624364850206,7.888361224123101,27.586525333197784,7.4770996171437245,9.209130225258264,0.3081039114611571,31.16224969824441,3,1,0.8186707516000461,6.038488941461909,2.6520292297912844,deep
3,24,1.4557644951127353,1.776382819864856,3.3278462582545867,4.409532730057862,6.540198532179892,26.360081993666558,6.72782864515804,8.098868037808872,0.20212877118955225,25.84063290119667,2,0,0.8781902946015546,1.2374377199954247,3.374850987517397,deep
4,25,1.3724313503245475,1.7788845529033976,3.019292832133584,4.105442397077967,7.446415608694662,26.939871011260003,8.109183776243222,7.489598796426608,0.22832468843438994,27.220862440323053,2,1,0.5896452479519941,5.499319484953844,2.045268399774421,deep
5,23,1.5323520750708988,1.8054976740406623,3.264754288536708,4.1637182809290385,6.250888254437448,26.417776062695484,8.092595745325212,3.9240432968064063,0.187010698546542,25.42925767919186,3,1,0.7455083235315931,5.281149204100149,2.4056302590828587,deep
6,24,1.5175666445546163,2.1116889976400874,3.8178547175062176,4.42735959926587,6.407465425176841,23.856980391821345,8.012728730466659,8.592614713982183,0.2582513763515145,32.0019576314589,3,0,0.6761068403256103,1.9108226353746074,2.3188859237424646,deep
7,27,1.5617497556753308,2.0892875085459486,3.609288336914227,4.523857202666655,8.45579636707762,24.3056149979501,7.564176620177807,13.595719683570575,0.2145715148820963,32.78026486921588,3,0,0.8151029388362443,1.2620007391402126,2.915258367408779,deep
8,26,1.3849382864714657,1.8655753831205995,3.5310936423303185,4.543753539511888,7.715468390238142,25.820660014852034,7.686152342571294,4.62400012916628,0.24984752455027892,30.239023324872733,3,0,0.8251331069582263,2.026829931637327,2.92686962261559,deep
9,24,1.5719518121413123,1.6591499360036062,2.8682506069819356,4.312545945292179,7.906477753940176,27.98953287626072,8.89998423112272,6.646796427902272,0.18413624510764742,24.872581008314366,2,0,0.6877924539610173,1.4574557931471928,2.3171510164879727,deep
10,25,1.1543485898088692,1.8025046638906053,2.9990160028142845,4.311720797736556,5.969869746304029,28.54737209893626,6.588951049792532,4.379410962352388,0.1462493545444971,22.871987489909163,3,1,0.725901618531065,5.411019515233338,2.4229908885121,deep
11,27,1.229929445802324,1.572198510741436,2.743528999828829,3.564443818821397,6.6496049281356555,23.939016796518644,6.628616654732977,7.037781907917231,0.239263083489196,28.745292342998958,2,1,0.6916292949766488,5.037688262039518,2.359825078890754,deep
12,29,1.1549099006936017,1.6628102580080546,2.605845574054018,4.202755856485593,8.283117839716297,28.05312052960455,6.260624985290132,7.362807172528728,0.13045709078542156,19.914766885864886,1,0,0.5752333719805484,1.6426234855520667,1.893567841308212,deep
13,26,1.222164513058874,1.7455090545513448,2.8095798997285573,3.840893580968935,6.566425813706649,28.94164073084951,7.093427980535054,5.820932693565018,0.16084039561789498,24.96274765083332,1,0,0.4809548883605809,1.4036105530086318,1.731446511058934,deep
14,23,1.288656470154353,1.625673467096473,2.561833165599423,3.7746694276317063,7.5718575127551135,27.009209640646652,6.162931388226462,7.198962816797657,0.14447501434054225,26.61097710579389,2,0,0.4351007299818652,1.5818680901261548,1.5846215019821448,deep
15,28,1.0477249748969781,1.5238628848590177,2.273136317058609,3.276184711004951,7.931645702806708,26.61545239005993,5.864734823449244,4.1296671361945805,0.1458060340731544,15.59882082431958,2,0,0.33580721528112,1.356387480719007,1.2126257974739316,deep
16,30,0.9689234050453667,1.17951427512165,2.1777001419337183,2.7878952066561,7.343021589682807,32.91712235986219,5.912008299674272,3.1401533001776523,0.10600285387121604,15.034909688023081,0,0,0.3358508461365205,1.4699005671954932,1.3258915042576254,deep
17,28,0.9190359085370492,1.442190834704968,2.276387036051559,3.0447880289491085,7.699771942582693,32.35299219422058,6.215233183192404,1.9087010382202134,0.13723522186567289,13.485314074025734,1,0,0.4125600978034061,1.278961496582835,1.384244666188304,deep
18,29,1.08678217096868,1.2255153074070997,1.9595189013132117,2.6296575237309336,8.026278430235523,28.87769974405904,5.411530326410528,-0.5116608716165709,0.15610450640672302,15.72605934288267,1,0,0.20429627916477797,1.7128520166667776,0.810485420458525,deep
19,26,0.926848933600063,1.3765790372057396,1.945250806754878,2.759935039807905,8.025494906216128,31.187139908376686,6.240131964030407,2.9325227916113703,0.14578021717948003,11.637654413585233,1,0,0.3070665920109677,1.5968972825408971,1.2942787768720263,deep
20,26,1.0863288062482017,1.2079044005320143,1.9477052923537663,3.3965317513556554,8.026911547025565,28.805533539382115,6.057520120067668,5.895528882045105,0.12994171762810103,13.587377617680755,1,0,0.3359605370819356,1.509512249180527,1.2417106599748036,deep
21,29,0.9600092968588013,1.3322431211417451,2.0035364541134437,2.8693466406542805,7.493445163730685,28.502668766608135,6.706347694366425,3.597150769497121,0.13661610473148073,15.392321212990446,1,0,0.29634090449956096,1.3628561914294353,1.3461649723816342,deep
22,30,0.9683946036752101,1.2913921666026709,2.5548406139231155,2.6897697493395025,8.341836466220823,26.849877610030973,5.76459816028533,2.9150880935207897,0.08630750247797488,11.842920871879656,1,0,0.24053978024401923,1.772976850651177,0.8077106864500073,deep
23,25,0.9526917918987017,1.5633584655138533,2.0666551728908518,3.348980022191796,8.09026040576303,30.120930636909012,5.762820940903478,0.5934601173322114,0.10831433974246223,13.897863167894394,2,0,0.3164613056825384,2.49494396542085,1.3187009734547372,deep
24,29,0.9798643807498408,1.2903464906673996,2.400571979345645,2.9120394871207913,6.834954782115248,29.76363798346,6.2738525613813465,3.674725933386155,0.09770519045908554,13.001137457338778,1,0,0.3310602376795331,1.2433419904075511,1.2407630239468872,deep
25,28,0.9193189990777537,1.2117499912974214,2.2545992254590024,3.1725728865964804,9.46740760077173,28.172837838166544,6.546892313266053,5.960158950656963,0.13123758840231875,12.132664553769523,1,0,0.2251102755250591,1.5617054239620392,0.8118775790810322,deep
26,26,0.9568631342943579,1.167880175191247,2.170460605733504,2.7802158397509995,7.25770435970695,27.113016431716925,5.163458206055245,5.378052025935188,0.12069903860731446,15.999410967989274,1,0,0.1923710213315804,1.4330475472704816,1.0544613152904219,deep
27,28,0.9954508173547948,1.291606861914835,2.2321126960569218,2.666529625971886,9.02526271667714,29.923510683057795,7.268090030193705,4.680213791470676,0.13798327294629384,17.814518683506307,1,0,0.4376522498710475,1.426084958557577,1.5505892156242103,deep
28,27,0.9704019363908265,1.33980520675405,1.9597960931845442,2.9455089721633767,8.920780052706446,29.60131514941965,7.075865542271114,5.579357783632584,0.10586828218756861,11.217738634268478,2,0,0.19606005013033279,1.488910290306063,0.8688840636597414,deep
29,25,1.1682033563262604,1.2841109278157987,2.3178910908535846,3.5060387115405893,9.362038371882212,31.305334977831922,5.563864656925672,3.058049990260553,0.14680661215107227,18.95635596821118,2,0,0.5409017355853041,1.5314924411476685,1.8529167535073214,deep
30,25,1.209663305647556,1.864105758946468,2.8782213300788975,3.702162348656223,9.425442651995166,24.72336598821484,7.223086234210488,6.858550698610128,0.1994889300000687,20.775055493359176,2,0,0.6047724634935111,1.2183555352531394,2.1180835417210675,deep
31,27,1.2246676892638595,1.4945908758364799,2.6015359494238117,3.520605682910064,8.374463514793588,28.522276585770946,6.615008781649348,7.565067674602172,0.17702271786891274,26.16069447011047,2,0,0.5836012018197699,1.8875887764016885,1.9061641271501295,deep
